Fecha,CaudalCuencaPaute,CaudalMol,CotaMol,CaudalMaz,CotaMaz,CaudalMsf,CotaMsf
"31/08/2020 00:00:00",61.789325,95.45833333333333,1984.5767822,34.30521620375,2148.34,9.192295533333333,786.74
"30/08/2020 00:00:00",57.334825,75.30416666666666,1984.7838135,35.15094512458333,2148.8,9.11504475,786.79
"29/08/2020 00:00:00",60.34214166666667,80.18333333333334,1984.7767334,32.96648745416667,2148.98,9.172018516666666,786.88
"28/08/2020 00:00:00",51.872683333333335,77.34166666666667,1984.9311523,33.224305208333334,2149.21,9.2505092625,786.94
"27/08/2020 00:00:00",56.558995833333334,94.80416666666666,1985.7664795,36.28680483791667,2149.46,10.3778641875,787
"26/08/2020 00:00:00",67.88351666666667,123.1875,1986.9150391,38.37084843458333,2149.83,11.2801408125,787.51
"25/08/2020 00:00:00",67.20772916666667,93.32916666666667,1986.8553467,40.74290089541667,2150.45,12.715596070833334,787.75
"24/08/2020 00:00:00",72.236775,64.10416666666667,1987.2756348,45.883422207083335,2150.78,14.878558641666666,787.64
"23/08/2020 00:00:00",101.55494583333333,127.24166666666666,1988.3609619,66.95357692791667,2150.72,18.496741895833335,786.8
"22/08/2020 00:00:00",153.830825,152.58333333333334,1988.7092285,104.06195474458333,2150.93,31.782082945833334,786.39
"21/08/2020 00:00:00",335.581175,180.49166666666667,1987.9178467,257.1279150145833,2150.97,80.821684725,789.43
"20/08/2020 00:00:00",83.92073333333333,155.525,1986.3665771,43.05407192041667,2149.24,10.9865486125,785.82
"19/08/2020 00:00:00",54.369679166666664,93.09583333333333,1985.6585693,35.95630328791667,2150,11.355674770833334,785.65
"18/08/2020 00:00:00",62.042295833333334,105.84166666666667,1986.9219971,37.155884049583335,2150.39,12.099672066666667,785.35
"17/08/2020 00:00:00",70.10140833333334,103.64583333333333,1987.9249268,39.301440177083336,2150.85,12.9285702125,785.54
"16/08/2020 00:00:00",88.51938333333334,108.59166666666667,1988.791748,53.72959618791667,2151.31,14.895140041666666,787.82
"15/08/2020 00:00:00",102.15010833333334,107.175,1988.543457,65.20116088,2151.48,20.937010795833334,787.78
"14/08/2020 00:00:00",113.25047916666666,146.21666666666667,1988.9075928,68.8046578625,2151.56,16.413641591666668,787.26
"13/08/2020 00:00:00",80.44057083333334,101.79583333333333,1988.6478271,45.83761537791667,2151.84,12.6057839375,787.17
"12/08/2020 00:00:00",75.25197916666667,130.2375,1989.7358398,42.49282707541666,2152.14,14.037904704166667,787.03
"11/08/2020 00:00:00",87.22247083333333,131.4375,1990.2298584,49.876016021666665,2152.63,15.8062816375,787.07
"10/08/2020 00:00:00",93.2907,113.45416666666667,1990.3570557,62.591994739166665,2153.14,18.824883875,787.7
"09/08/2020 00:00:00",112.4375375,107.47083333333333,1990.819458,80.46426972875,2153.36,25.0011111125,788.35
"08/08/2020 00:00:00",138.38427916666666,156.5375,1990.7851562,99.23659822,2153.33,42.61467130416667,788.79
"07/08/2020 00:00:00",197.71656666666667,124.09583333333333,1989.8297119,155.05399153541666,2153.48,41.1920678875,788.79
"06/08/2020 00:00:00",112.91239583333333,126.42916666666666,1989.4691162,61.463353229166664,2152.76,14.897525070833334,787.85
"05/08/2020 00:00:00",101.59178333333334,112.60416666666667,1989.6270752,57.08103964041667,2152.95,17.1815135125,788.96
"04/08/2020 00:00:00",110.87821666666666,116.10833333333333,1990.4500732,62.84138338458333,2153.01,19.688539733333332,790.52
"03/08/2020 00:00:00",123.0589875,130.72083333333333,1990.8878174,72.0580014475,2153.1,18.527952929166666,790.7
"02/08/2020 00:00:00",168.93205833333334,236.25,1990.7825928,83.3574193475,2153.16,25.733012425,791.68
"01/08/2020 00:00:00",323.16065833333334,371.2291666666667,1990.6018066,195.31991829416665,2153.69,69.96247599166666,791.38
